MAINUPC,ITEMNAME,SIZENAME,PACKNAME,
8950000,Tangueray - ,50 ml,,1.71
901601472,Hijos De Villa ,,,52.02
9053839,Maverick red 100's,,,15.72
9053936,Maverick Gold,,,15.72
9054634,Maverick Red,,,15.72
9055138,Maverick Menthol 100,,,15.72
9055332,Maverick Gold 100,,,15.72
9055439,Maverick Menthol,,,15.72
9055536,MAVERICK SILVER 100,,,15.72
9055837,Winston 100,,,14.45
9055934,Winston GOLD,,,17.90
9057136,Kool ,,,19.35
9057233,Kool Shorts,,,19.35
9057330,Kool 100,,,19.35
9059037,Salem Box,,,20.56
9059134,Salem 100 Box,,,20.56
9059338,Salem Gold,,,20.56
906711009,Il Grigio Chianti Classico,750 ml,Single,30.24
919111127,NEBCO FUZZY DUCK CAN,,6-Pack,15.72
919171109,Sea Hag IPA - ,,6-Pack,14.51
939180008,Ice Bag,,Single,3.03
946000014,Terra D' Oro Barbera ,750 ml,,20.56
1001468008,Thim Isl Sea Foam Pale Ale,16 Oz,4-Pack,12.09
1001468067,Thimble Sea Foam,12 Oz,6-Pack,16.93
1001468101,Berlinetta Velvet Pilsner ,16 Oz,4-Pack,18.14
1002119000,Villa Massa  Limoncello,750 ml,,36.29
1002227420,Kris Pinot Grigio ,750 ml,Single,15.72
1002815020,Rebel Irish 4Pk Can,16 Oz,4-Pack,18.14
1002890001,Strong Water Rum,1 Lt,,9.67
1003551011,Shanky's Whip,750 ml,Single,32.66
1003866000,Scots Gold,750 ml,Single,12.09
1003866007,Scots Gold ,1.75 Lt,Single,18.14
1006424012,Astra Bella Black,375 ml,,6.04
1006424014,Astra Bella Rosso,375 ml,,6.04
1006424020,Astra Bella Blackberry,375 ml,,6.04
1006424022,Astra Bella Peach,375 ml,,6.04
1007878016,SIM.SPIKED LEMONADE 24OZ,,,4.49
1007878020,SIM.SPIKE LEMONADE CAN,,12-Pack,24.19
1007878062,SIM.SPIKE STRA.LEMO.24OZ,,,4.49
1007878065,Fresca Tequila,12 Oz,4-Pack,13.30
1007878068,Fresca Vodka,12 Oz,4-Pack,13.30
1007878077,Simply Peach,12 Oz,12-Pack,22.98
1007878086,Fresca Mixed Vodka Spritz,12 Oz,8-Pack,24.19
1007878097,Simply Peach,24OZ,Single,4.49
1007878115,Simply Spicked Limeade,12 Oz,12-Pack,22.98
1007878147,Minute Maid Margarita,1.5 Lt,,19.35
1007878149,Minute Maid Pina Colada,1.5 Lt,,19.35
1007878151,Minute Maid Strawberry Daiquiri,1.5 Lt,,19.35
1007878213,Simply Spicked Mango 12 Pac ,12 Oz,12-Pack,22.98
1008055016,whistle.citrus  can,,4-Pack,20.56
1008055018,whistle.blk.lemon  can,,4-Pack,20.56
1.0082E+13,Loyal Water Melon Case,,,93.17
1.0088E+13,Tribute Mister Sam Whiskey,750 ml,Single,967.99
1008837014,Ole Smoky Sour Razzin Berry,50 ml,Single,3.64
1008837016,Ole Smoky  Strawberry,50 ml,,3.64
1008837018,Banana Pudding,50 ml,,3.64
1008837026,Moonshine Pineapples,,,32.66
1008837035,Moon Shine Pumpkin Spice,750 ml,,32.66
1008837043,Ole Smoky,750 ml,Single,32.66
1008837084,Ole Smokey,50 ml,Single,3.62
1008837086,Moonshine Snikerdoodle,750 ml,,32.66
1.00886E+13,Ed Hardy Case,,,24.20
1009579007,Casa Azul Blanco Tequila,750 ml,,78.64
1009579025,Casa Azul Variety,375 ml,8-Pack,26.61
1009840024,0-61 Cabernet Sauvignon,750 ml,Single,19.35
1009840025,O 61 Red Blend ,750 ml,Single,19.35
1009840137,Lobos Reposado,375 ml,Single,31.45
1011612155,Prime Lemonade,500 ml,,3.63
1011612182,Prime,,,3.63
1011612560,Prime Meta Moon Wwe,500 ml,,3.63
1011713001,The Beast Mean Green,16 Oz,Single,3.01
1011713004,The Beast White Haze,16 Oz,Single,3.01
1011713007,The Beast Peach,16 Oz,Single,3.01
1011713018,The Beast Variety Can,12 Oz,12-Pack,21.77
1011807000,SALINAC-COG ,375 ml,,16.93
1011807004,Courvoisier - ,200 ml,,12.09
1011807005,Courvoisier - ,375 ml,,24.19
1015570021,Ilegal Reposado Mescal,750 ml,Single,61.70
1017136003,Surf Side  Peach Green Tea + Vodka,12 Oz,4-Pack,14.51
1017136011,Surf Side  Mango Green Tea +Vodka,12 Oz,4-Pack,14.51
1017136014,Surfside Green Tea ,355 ML,8-Pack,26.61
1017136016,Surfside Green Tea Party Pack,12 Oz,12-Pack,38.71
1017136018,Surfside Lemoned Iced Tea Party Pack,12 Oz,12-Pack,39.92
1017136056,Surfside Iced Tea Party Pack,12 Oz,12-Pack,38.71
1017136112,Surfside Iced Tea,19OZ,Single,6.04
1017136113,Surfside Lemonade,19OZ,Single,6.04
1017136115,Surfside Iced Lemonade,19OZ,Single,6.04
1017136186,Surfside Half & Half ,12 Oz,8-Pack,26.61
1017136196,Super Lyte 8 Pac Cans,12 Oz,8-Pack,26.61
1017838005,Jc. Classic Margarita Lemonade Cockails,12 Oz,4-Pack,14.51
1017838007,Jc. Straberry Margarita Cockails,12 Oz,4-Pack,14.51
1017838009,Jc. Pink Lemonade,12 Oz,4-Pack,14.51
1017838011,Jc. Paloma Cockails,12 Oz,4-Pack,14.51
1017838012,Jc.Cockails Variety Pack,12 Oz,8-Pack,25.40
1042202005,Old Glasgow Scotch Whisky,750 ml,,36.29
1056309910,Dutcgcraft ,375 ml,,7.85
1058567081,Puranique ,1.75 Lt,,53.23
1.06663E+13,Tall Bart Kali Chard Case,,,278.30
1073501589,Quarter Horse,50 ml,Single,1.08
1073501746,Green River Bourbon,750 ml,Single,48.39
1073501787,Green River Wheated Bourbon,750 ml,Single,48.39
1084503004,Carolans Irish Cream,750 ml,,18.14
1087902010,90+ Big Red Blend,750 ml,Single,12.09
1087902013,Iron Side Cab Sau,12 Oz,Single,18.14
1087902020,90plus sauvignon blanc1.5ml,,,21.77
1087902023,90plus pinot grigio 1.5ml,,,21.77
1087902038,mija red sangria ,750 ml,,12.09
1087902039,Magic Door Cabernet Sauvignon,750 ml,Single,43.55
1087902057,90 + Rose+Tax,1.5 Lt,,20.56
1087902063,90+ Cellars Prosecco,187 ml,Single,5.43
1087902064,90+ Cellars Prosecco,187 ml,,14.51
1087902070,90+ Prossecco ,1.5 Lt,Single,27.82
1087902078,mija sangria ,750 ml,,12.09
1087902083,Paso Robles Cab Sau,750 ml,Single,18.14
1087902087,Iron Side PInot Noir ,750 ml,,18.14
1087902088,90 PLUS CHIANTI ,750 ml,,12.09
1087902099,Corte Fiore Appassimento,750 ml,Single,19.35
1087902114,90PLUS BEAUJOLAIS,750 ml,,12.09
1087902117,Bordeaux 90+,750 ml,Single,13.30
1087902147,90+ Lumbrusco,750 ml,Single,13.30
1087902169,90+ Barbaresco,750 ml,Single,26.61
1087902187,Wheel Horse Burbuon,750 ml,Single,36.29
1087902205,Zarpado Silver ,750 ml,,32.66
1087902208,American Buddy's,1.75 Lt,Single,24.19
1087902232,Vinho Verde 90+ Cellers,750 ml,Single,9.67
1087902235,American Buddy's,1 Lt,Single,14.51
1087902363,Zarpado Reposado,750 ml,,36.29
1087902628,Mija Red Bubbly,750 ml,,12.09
1087902714,Zarpado Anejo,750 ml,Single,48.39
1087902716,Flyer Vodka,1.75 Lt,Single,18.14
1087902717,Flyer Vodka,750 ml,Single,9.67
1087902835,Gonner ,1.75 Lt,Single,20.56
1087902836,Gunner Vodka,1 Lt,,13.30
1087902982,Sola Raspberry Iced Tea,355 ML,Single,4.83
1087902992,Sola Lemonade,355 ML,Single,4.83
1088501122,V du Vernay Ice Rose - ,750 ml,,14.51
1088501159,Veuve Du Vernay,187 ml,Single,3.62
1088501164,Veuve Du Vernay,187 ml,2 PCK,7.25
1103441003,M&J Rosso - ,1.5 Lt,,22.98
1103441004,Martini & Rossi,1 Lt,Single,22.98
1103441005,M&R Rosso - ,750 ml,,20.56
1103441007,M&R Rosso - ,375 ml,,9.67
1103442003,M&R Dry - ,1.5 Lt,,19.35
1103442005,M&R Dry Ver - ,750 ml,,12.09
1103442007,M&R Dry Ver - ,375 ml,,10.88
1103443004,Martini Vermouth,1 Lt,,24.19
1103443005,M&R Bianco Ver - ,750 ml,,16.93
1103450003,M&R Asti Spum - ,1.5 Lt,,31.45
1103450005,M&R Asti - ,750 ml,,18.14
1103450007,M&R Asti Spumante ,375 ml,,14.51
1104103001,Lalo,750 ml,,56.86
1104103004,Lalo Tequila,375 ml,Single,33.87
1104103008,Lalo 100 Proof,750 ml,,91.95
1126502293,Zinsane - ,750 ml,,15.72
1126900128,Redbull Amber Edition,8 oz,Single,3.33
1126900173,Red Bull Winter Edition,12 Oz,,4.55
1126900186,Red Bu,,,4.83
1126900270,Red Bull Zwhite Peach,12 Oz,,4.55
1126910171,Red Bull Sugar free 8.4oz,8 oz,Single,3.41
1126910802,Red Bull 8.4oz - ,,4-Pack,10.88
1126911357,Red Bull Tropical - ,12 Oz,Single,4.83
1126913344,RedBull ,20 Oz,Single,6.64
1126916345,Red Bull Yellow Edition,8 oz,Single,3.33
1126928136,Red Bull Coconut 8oz,,,3.07
1126928310,Red Bull Peach ,12 Oz,,4.55
1126932121,Red Bull Coconut,12 Oz,,4.55
1126933124,Red Bull Watermelon 8oz,,,3.33
1126954601,Red Bull - -,16 Oz,Single,6.04
1126971646,Red Bull  Sugar Free,12 Oz,,4.54
1126981899,Red Bull - ,12 Oz,,4.83
1126999100,Redbull 80,8 oz,Single,3.33
1126999100single,Red Bull - 8.4oz,,,3.07
1127202013,Magic Moments Apple - ,50 ml,,1.09
1140863053,Toad Hollow,750 ml,Single,16.93
1150202055,ALFRESCO rose-,750 ml,,9.67
1150202058,bellis bourbon-,750 ml,,55.65
1153801003,1800 Anejo ,750 ml,,54.44
1153801010,1800 Respoado ,200 ml,,14.51
1153801011,1800 Blanc,50 ml,Single,4.83
1153801012,1800 Silver -  ,375 ml,,21.77
1153801013,1800 Silver - ,750 ml,,41.13
1153801015,1800 Silver ,1.75 Lt,,55.65
1153801019,1800 Silver - ,200 ml,,13.30
1153801021,1800 Repo,50 ml,Single,4.83
1153801022,1800 Repso ,375 ml,,22.98
1153801023,1800 Repso ,750 ml,,41.13
1153801025,1800 Reposado ,1.75 Lt,,58.07
1153801030,1800 Coco - ,200 ml,,13.30
1153801036,1800 Coco - ,375 ml,,21.77
1153801037,1800 Coco - ,750 ml,,41.13
1153801040,1800 coco ,1.75 Lt,,55.65
1153801076,Jose Cuervo Gold - ,1.75 Lt,,49.60
1153801077,Jose Cuervo Silver - ,1.75 Lt,,49.60
1153801080,JOSE CUERVO GOLD 1L,1 Lt,Single,33.87
1153801082,JOSE CUERVO SILVER 1L,1 Lt,Single,33.87
1153801083,Jose Cuervo Gold ,750 ml,,27.82
1153801085,Cuervo Silver ,750 ml,,27.82
1153801087,Jose Cuervo Silver ,375 ml,,16.93
1153801088,Jose Cuervo Gold ,375 ml,,16.93
1153801092,Jose Cuervo ,200 ml,,10.88
1153801093,Jose Cuervo Silver ,200 ml,,10.88
1153801094,Jose Cuervo Gold ,50 ml,,2.27
1153801095,Cuervo Silver ,50 ml,,2.27
1153801096,Jose Golden Marg - ,1.75 Lt,,26.61
1153801099,Jose Cuervo Margarita - ,1.5 Lt,,26.61
1153801101,Jose Marg Mango ,1.75 Lt,,26.61
1153801103,Cuervo Straw Marg - ,1.75 Lt,,26.61
1153801104,Jose Marg Watermelon ,1.75 Lt,,26.61
1153801106,Jose Grapefruit Margarita,1.75 Lt,Single,26.61
1153801107,cuese classic marga ,750 ml,,14.51
1153801111,Jose Cuervo Marg,375 ml,Single,6.64
1153801112,Jose Cuervo Strawberry,375 ml,Single,6.64
1153801113,Cuervo Marg  - Single,200 ml,,3.13
1153801115,Cuervo Marg Mix - 1.75,1.75 Lt,Single,12.11
1153801121,Cuervo Lime Margarita Mix,1.75 Lt,Single,7.25
1153801155,Cuervo Marg  - ,200 ml,4-Pack,13.30
1153801160,Jose Gold Gift Pack,750 ml,Single,31.45
1153801203,Maestro Dobel Diamond,,,79.85
1153801224,Jose Cuervo Teagarita - ,1.75 Lt,,24.19
1153801230,Maestro Dobel Diamante Tequila Blanco,750 ml,Single,66.54
1153801275,jose ,187 ml,,3.13
1153801276,JOSE CUERVO STRAW-RITA,,,13.30
1153801283,Jose Cuervo Coco Pine marg,,,26.61
1153801286,1800 peach merg 1.75ml,1.75 Lt,Single,26.61
1153801302,Kraken - ,750 ml,,30.24
1153801362,400CONEJOS ,750 ml,,38.71
1153801403,Gran Centenario Anejo,,,53.23
1153801413,Gran Centenario blanco ,750 ml,,43.55
1153801423,Centenario Repos,,,50.81
1153801455,1800 MARGARITA ,1.75 Lt,,26.61
1153801485,Tin Cup 10Yr 750Ml,750 ml,Single,33.87
1153801519,Three Olives Vodka - ,750 ml,,25.40
1153801521,three olives 1.75ml,,,33.87
1153801534,Three Olives Grape - ,750 ml,,25.40
1153801616,bushmill 750,,,41.13
1153801619,Bushmills - ,50 ml,,2.21
1153801644,1800 Margarita Watermelon,1.75 Lt,,26.61
1153801646,1800 Cristalino Anejo ,750 ml,,84.69
1153801647,1800 Cristalino,375 ml,Single,46.57
1153801648,jose mango ,,4-Pack,3.13
1153801650,jose mango ,,4-Pack,13.30
1153801690,jose curvo single,,,3.13
1153801691,jose curvo ,,4-Pack,13.30
1153801694,jose curvo wtrmln,,,3.13
1153801695,jose  watermln,,4-Pack,13.30
1153801696,Jose Grapefruit Margarita,,,3.13
1153801697,Jose Grapefruit Margarita,,,13.30
1153801703,Matusalem Gran Reserva - ,750 ml,,42.34
1153801713,Matusalem Platino - ,750 ml,,24.19
1153801723,Matusalem Clasico -,750 ml,,27.82
1153801736,Hangar 1 Rose - ,750 ml,,36.29
1153801892,1800 mango margarit 1.75ml,,,29.03
1153801895,1800 Margarita Blood Orange,1.75 Lt,Single,26.61
1153801915,1800 Margarita ,1.75 Lt,,26.61
1153801956,Proper Twelve ,750 ml,,41.13
1153801961,Jose ,187 ml,,3.13
1153801964,Jose curvo pink ,,4-Pack,13.30
1153801967,Proper Twelve  ,1.75 Lt,,60.49
1153801968,Proper Twelve ,375 ml,,20.56
1155902014,Sippin Cream Pumpkin ,750 ml,Single,32.66
1155902084,Sippin Cream Birthday Cake ,750 ml,Single,32.66
1155902085,Sippin Cream Peanut Butter 50Ml,50 ml,Single,4.83
1155902090,Sippin Cream Peanut Butter ,750 ml,Single,32.66
1155902091,Sippin Cream Bday Cake 50Ml,50 ml,Single,4.83
1155902154,Sippin Cream Eggo Brunch 50Ml,50 ml,Single,4.83
1155902155,Sippin Cream Eggo Brunch,750 ml,Single,32.66
1175102000,Stoli - ,750 ml,,31.45
1175102004,Stoli - ,1.75 Lt,,43.55
1175102166,HACIENDA,,,21.77
1175102290,STOLI LIME ,750 ml,,14.51
1200000129,Pepsi,,,3.03
1200000230,Pepsi ,,,4.22
1206602004,Brugal Anejo 375Ml,375 ml,Single,14.51
1206602005,Brugal Anejo - ,750 ml,,30.24
1206602007,BRUGAL ANEJO,,,48.39
1206602009,BRUGAL EXTRA DRY ,750 ml,,26.61
1206602017,BrugalExtraviejo ,750 ml,,38.71
1206602030,Highland park 12 Years,,,70.17
1206602055,Macallan 12yr - ,750 ml,,113.73
1206602151,Brugal1888,750 ml,Single,49.60
1206602159,Macallan 12y Double Cask,,,120.99
1206602185,Macallan 12Y,50 ml,Single,12.09
1206602306,Macallan Double Cask 15yrs,,,278.29
1206602338,Macallan'18yrs,750 ml,,483.99
1206602428,Macallan Hormany,750 ml,Single,362.99
1206602479,The Macallan Harmony Collection,750 ml,Single,362.99
1214702057,Gris Blanc Rose,1.5 Lt,Single,36.29
1214702100,Hampton Water,750 ml,,25.40
1214702106,Hampton Water,375 ml,,14.51
1214702215,Bertrand Cote D Rose - ,750 ml,,20.56
1230019741,Camel CRUSH,,,18.14
1230050989,Camel Crusgh Menthol,,,18.14
1230050992,Camel Crush Menthol ,,,18.14
1230091260,Camel Crush $1 Off,,,17.24
1235400099,19 Crimes Red - ,750 ml,,13.30
1235400135,19 Crimes Cab - ,750 ml,,13.30
1235400160,19 Crimes The Warden,,,20.56
1235400168,19 crime anished ,750 ml,,13.30
1235400193,19 Crimes Uprising - ,750 ml,,13.30
1235400194,19 Crimes Chard ,750 ml,,13.30
1235400429,19 CRIME CALI RED,750 ml,,15.72
1235400500,19 crime rose ,750 ml,,15.72
1235400743,19 CRIMES MARTHA'S CHARD,,,15.72
1235401347,Cali Cocktail Lemonade,12 Oz,4-Pack,15.72
1235401363,Cali Cocktail Straw,12 Oz,4-Pack,15.72
1235401412,19 Crimes Cabernet Sauvignon,750 ml,,13.30
1235401615,Cali By Snoop Red Blend,750 ml,Single,15.72
1235401655,19 Crimes Cali Smooth,750 ml,Single,15.72
1235401976,19 Crimes Hard Chard ,750 ml,,13.30
1245901043,Lexington Bourbon,,,36.29
1245901180,Twenty Grand Rose ,750 ml,,33.87
1245901200,Calumet Small Batch,,,72.59
1245901391,Bird Dog 10 Years,,,39.92
1245901455,Calumet 8 Years,,,56.86
1258400003,Oliver Soft White Wine ,750 ml,,12.09
1258400007,Oliver Sweet Red ,750 ml,,12.09
1258401012,Bean Blossom Peach - ,750 ml,,6.04
1258432020,Oliver Blueberry Moscato ,750 ml,,15.72
1300875220,Arnold Palmer Spiked,12 Oz,12-Pack,24.19
1300876373,Arz Hard Lemon,20 Oz,Single,3.86
1300876374,Arz Hard Green,20 Oz,Single,3.86
1300876375,Arz Hard Peach,20 Oz,Single,3.86
1300876383,Arz Hard Vty,12 Oz,12-Pack,21.77
1300876612,Arz Hard Lemon,12 Oz,12-Pack,21.77
1300876806,Arz Hard Peach,12 Oz,12-Pack,21.77
1300876853,Arizona Hard Party Pack,12 Oz,12-Pack,22.98
1300876874,Arizona Hard Party Pack,12 Oz,12-Pack,22.98
1300876991,Arz Hard,22OZ,Single,3.86
1300877208,Arizona Hard Vodka 8 Pk Can,12 Oz,8-Pack,21.77
1302200333,Lucky Day Sweet Red,750 ml,,13.30
1302200777,Lucky Day Gold ,750 ml,Single,13.30
1321902004,Teeling Whiskey,750 ml,,53.23
1321902007,Teeling Single Malt Irish ,750 ml,,84.69
1349700304,The Deacon,750 ml,Single,45.97
1349700431,Belaire Rose ,750 ml,,36.29
1349700444,LUC BELAIRE ROSE ,750 ml,,36.29
1349700501,Belair Luxe - ,750 ml,,36.29
1349700590,Belaire Rose,750 ml,,36.29
1349700598,LUC BelAir Rose - ,375 ml,,24.19
1349700610,BUMBU RUM ,750 ml,,48.39
1349700613,Bumbu Rum,375 ml,Single,25.40
1349700617,Bumbu Rum Cream ,750 ml,,48.39
1349700701,BELAIRE GOLD ,187 ml,,12.09
1349700703,Belaire Gold ,750 ml,,36.29
1349700714,Luc Belaire Rose ,187 ml,Single,12.09
1349700715,Belaire Luxe,187 ml,,12.09
1349700722,villon ,750 ml,,43.55
1349700780,belaire blue ,750 ml,,36.29
1349700799,Mc Ultraviolet Edition,750 ml,Single,41.13
1349700804,Belaire Rare Rose,200 ml,,12.09
1349700807,Belaire Rose,187 ml,,12.09
1349700808,Belaire Bleu ,200 ml,,12.09
1364500011,Carletto Pinot Grigio,1.5 Lt,Single,19.35
1375749270,Thomas Hooker  ,16 Oz,4-Pack,14.51
1375797532,Narragansett ,12 Oz,30-Pack,36.29
1394201055,FINCA EL ORIGEN ,750 ml,,14.51
1456798376,Fifth State ,750 ml,,24.19
1479401064,Jefferson Ocean Whisky,750 ml,Single,102.84
1479401195,Jeffersons Rye ,750 ml,Single,48.39
1480051175,clamato,,,2.84
1513201007,Masi Costasera,750 ml,Single,88.32
1535101036,Magners Irish Cider  box,,6-Pack,16.93
1559902028,tavernello vino rosso ,750 ml,,7.25
1559902037,tavernello pgo ,750 ml,,8.46
1562902800,Beaujolais Nouveau,750 ml,Single,19.35
1563000000,Busch ,12 Oz,6-Pack,7.25
1563600000,Budweiser,12 Oz,18-Pack,24.19
1563800000,Budweiser Cans,16 Oz,6-Pack,14.51
1564300018,Monsieur Sav Blanc - ,750 ml,,12.09
1564323524,Montaud Rose - ,750 ml,,14.51
1564323705,Villa Jolanda Prosecco,750 ml,,15.72
1564323940,BARBARESCO 750,,,30.24
1564324392,Ague De Piedra Malbec - ,750 ml,,16.93
1564324456,Sangria La Casita  - ,1.5 Lt,,12.09
1564324457,terra unica tempranill ,750 ml,,10.88
1564324972,Agua De Piedra Chard - ,750 ml,,16.93
1564325056,Villa Jola Mosc Rose - ,750 ml,,15.72
1564325129,FAMILIA  DANTI DHIANT ,750 ml,,13.30
1564325506,Punto Y Coma - ,750 ml,,13.30
1564325595,Alvarez de Toledo ,750 ml,,12.09
1564325596,Lagar De Robla Argan ,750 ml,,6.04
1564325668,Villa Jolanda Prosecco,750 ml,Single,15.72
1564325707,Florentina Chianti ,750 ml,,16.93
1564325758,Villa Jolanda D'Asti Mosc,,,15.72
1564325789,Villa Jola Mosc Peach - ,750 ml,,13.30
1564325790,Villa Jola Mosc CoCo - ,750 ml,,13.30
1564325791,Villa Jola Mosc Straw - ,750 ml,,13.30
1564325792,Villa Jola Mosc Pinap - ,750 ml,,15.72
1564325830,Lagar De Robla ,750 ml,,4.83
1564325944,Cims Del Montsant ,750 ml,,14.51
1564325969,Seguret Vignobles,750 ml,,15.72
1564325971,Windy Hills Merlot ,750 ml,,13.30
1564326034,Les Dauphins Cotes Du Rhone,,,13.30
1564341521,Villa Jolanda Mango  - ,750 ml,,13.30
1564342561,Rocca G. Rosso Rucut - ,750 ml,,15.72
1564342562,Rocca G. D' Alba - ,750 ml,,15.72
1564342944,Villa Jolanda Prosecco - ,750 ml,,15.72
1564347627,Pardiac Xo,750 ml,Single,24.19
1564352386,Villa Jolanda Passion - ,750 ml,,13.30
1564356270,Villa Jolanda blue ,750 ml,,13.30
1564356780,cHATEAU Le Faure ,750 ml,,13.30
1564362370,Villa Christmas,750 ml,Single,15.72
1564367378,Chateau Vieille Tour Red,750 ml,,13.30
1564367930,VILLA JOLA. MOSC. BLU.BERRY,,,15.72
1564372337,Villa Jolanda ,750 ml,,15.72
1564374008,Chateau Janon Bordeaux,750 ml,,12.09
1564374665,Chateau Bonesperance Merlot,750 ml,Single,12.09
1564374667,Chateau Butte De Charlemagne Red,750 ml,,13.30
1564379313,Bordeaux Chateaux Gold Medal Sel,750 ml,2 PCK,36.29
1564379315,Bordeaux 90+ Point Wines,750 ml,3-pack,56.86
1564500000,Red Strip,12 Oz,6-Pack,12.09
1564800000,Natural Light,12 Oz,6-Pack,6.76
1565000000,Corona Extra Cans,12 Oz,6-Pack,13.30
1565400000,Heineken,12 Oz,12-Pack,22.98
1565600000,Bud Light 16Oz Can,16 Oz,6-Pack,14.51
1566600000,Casal Garcia,750 ml,,10.88
1566700000,Heineken ,12 Oz,6-Pack,13.30
1567100000,Coors Light Bottle,12 Oz,6-Pack,9.67
1567200000,Coors Light Can,12 Oz,12-Pack,18.14
1567500000,Budweiser Bottles,12 Oz,12-Pack,18.14
1567800000,Heinken Btl,12 Oz,12-Pack,22.98
1568000000,CORONA fAMILIAR-,,12-Pack,22.98
1568300000,Corona Light Bottles,12 Oz,12-Pack,22.98
1568800000,Victoria Bottles,12 Oz,12-Pack,22.98
1569500000,Peroni Btl,12 Oz,12-Pack,22.98
1569800000,Modelo Bottles,12 Oz,12-Pack,22.98
1570100000,Presidente Btl,12 Oz,12-Pack,21.77
1570400000,Guinness Extra Stout,12 Oz,12-Pack,22.98
1570800000,Pacifico Bottles,12 Oz,12-Pack,22.98
1571100000,Dos Equis,12 Oz,12-Pack,22.98
1571600000,Corona Extra,12 Oz,6-Pack,13.30
1571700000,Yuengling Light Btl,12 Oz,12-Pack,18.14
1572000000,Miller Lite Can,12 Oz,6-Pack,9.43
1572400000,Yuengling Traditonal Btl,12 Oz,12-Pack,18.14
1572700000,Prestige Btl,12 Oz,6-Pack,12.09
1573000000,Modelo Negra Btl,12 Oz,12-Pack,22.98
1573200000,heineken ,7 Oz,12-Pack,20.56
1573500000,Coronita 7Oz Btl,7 Oz,12-Pack,18.15
1573900000,Becks Btl,12 Oz,12-Pack,20.56
1574100000,Coors Light 16Oz Can,16 Oz,6-Pack,13.30
1574400000,Bud Light Bottles,12 Oz,6-Pack,9.67
1577900000,Smirnoff Ice Btl,12 Oz,6-Pack,13.30
1578100000,Mikes Lemonade,12 Oz,6-Pack,13.30
1578300000,Mikes Black Cherry,12 Oz,6-Pack,13.30
1578500000,Twisted Tea Original,12 Oz,6-Pack,13.30
1578600000,Twisted Tea Half N Half,12 Oz,6-Pack,13.30
1578700000,Natural Ice Can,12 Oz,12-Pack,12.69
1578800000,Bud Light,12 Oz,12-Pack,18.14
1579000000,Angry Orchid Crisp Apple,12 Oz,6-Pack,13.30
1580600000,Michelob Ultra Bottles,12 Oz,12-Pack,19.35
1580700000,Land Shark,12 Oz,12-Pack,21.77
1581400000,Samuel Adams Boston Lager Btl,12 Oz,12-Pack,22.98
1581500000,Sapporo Btl,12 Oz,6-Pack,13.30
1581600000,Schafer ,12 Oz,12-Pack,13.49
1581800000,Budweiser Platinum,12 Oz,6-Pack,10.88
1582610190,Ravenswood Zinfadel ,750 ml,,14.51
1582650103,Raven cab,,,12.09
1582690191,REVEN WOOD CHARD ,750 ml,,6.04
1582901004,CAYMAN JACK VARIETY  CAN,,12-Pack,24.19
1582901006,Cayman Margarita,12 Oz,6-Pack,13.30
1582901054,Cay Man Moscow Mule ,12 Oz,6-Pack,13.30
1582901111,caymanjack can,,12-Pack,24.19
1582901153,CAYMAN JACK MARG.CAN,,12-Pack,24.19
1582901196,Cayman Jack Sweet Heat Marg,12 Oz,12-Pack,24.19
1590702009,Mckenzies Black Cherry,12 Oz,6-Pack,14.51
1613602262,Heaven's Door ,750 ml,,60.49
1613602322,CARAVEDO MOSTO VERDE,,,55.65
1613602534,Avaline Rose ,750 ml,Single,22.98
1613602536,Avaline White Wine,750 ml,Single,22.98
1613602537,Avaline Red Wine,750 ml,Single,22.98
1613602789,LOBOS JOVEN,,,56.86
1613602790,LOBOS REPO. ,750 ml,,66.54
1622990147,Foco Coco,16 Oz,,3.33
1625301058,Mioneto Proseco,187 ml,2 PCK,10.88
1625301110,Mionetto Rose Prosecco,187 ml,2 PCK,10.88
1625301176,BOLLICINI ,,4-Pack,14.51
1625301183,Bollicini ,,4-Pack,14.51
1625301240,MIONETTO ROSE ,750 ml,,20.56
1625301250,Freixenet Pinot Grigio,750 ml,,15.72
1627900000,Miller High  Life,12 Oz,Single,1.37
1633800000,Machete Petite Sirah 2020,750 ml,,60.49
1633900000,Papillon Cabernet Sauvignon 2021,750 ml,,84.69
1636000102,Ayala Brut ,750 ml,,48.39
1636000402,Ayala Rose ,750 ml,,60.49
1660000103,Roses Sweet Lime Juice,,,8.46
1660000104,Rose's Grenedine lg,,,8.46
1666900000,Cayman Margarita Strawberry,12 Oz,6-Pack,13.30
1670900000,Michelob Ultra  Can,16 Oz,4-Pack,7.25
1675102006,Cutwater Gin & Tonic,,,6.26
1675102008,Cutwater Spiced Bloody Mary,,,6.26
1675102047,CUT WATER BLOODY MARY  4,,,18.14
1675102049,CUITWATERGIN&TONIC,,,16.93
1675102060,Cut Water Vodka,12 Oz,4-Pack,18.14
1675102118,Cutwater Tequila Paloma,,,6.04
1675102120,Cutwater Grapefrut,12 Oz,4-Pack,18.14
1675102121,Cutwater ,355 ML,Single,6.04
1675102123,CUT WATER MARGARITA ,,4-Pack,18.14
1675102168,Cut Water Tiki Rum Mai Thai,12 Oz,4-Pack,18.14
1675102178,cut water mojito can,,4-Pack,18.14
1675102199,Cut Water Long Islandtea,12 Oz,4-Pack,18.14
1675102206,Cut Water White Russian,12 Oz,4-Pack,18.14
1675102209,Cutwater Mango,,,6.04
