MAINUPC,ITEMNAME,SIZENAME,PACKNAME,
2836425,Marlboro Menthol 100,,,18.45
2836823,Marlboro RED LABEL,,,18.45
2836920,Marlboro Red Label 100,,,18.45
2838423,Marlboro Gold,,,18.45
2840127,Marlboro Menthol GOLD,,,18.45
2842222,marlboro-special blends,,,18.14
2842329,Marlboro Specialselect 100,,,18.14
2846529,Marlboro GOLD 100,,,18.45
2847120,Marlboro Menthol GOLD 100,,,18.45
2847722,Marlboro SILVER,,,18.49
2847829,Marlboro SILVER 100,,,18.45
2848129,Marlboro Menthol SILVER,,,18.45
2848527,Marlboro Menthol SILVER 100,,,18.45
2856526,Marlboro Special Select,,,18.45
2856827,Marlboro Special Select,,,18.45
2873329,VIRGINIA SLIMS GOLD 100,,,18.14
2877228,Virginia Slim,,,18.14
2877422,Virginia Slims Menthols,,,18.00
2878421,Parliament,,,20.56
2878722,Parliament Menthol,,,20.56
2879129,Parliament 100,,,20.56
2896223,Marlboro GREEN 72's,,,18.45
2896320,Marlboro RED 72's,,,18.45
2896524,Marlboro Light 72's,,,18.45
3354452,Modelito 6Pck,7 Oz,6-Pack,10.27
3402119,Miller High Life,12 Oz,6-Pack,7.25
3436213,Miller Lite 6-Pack,,6-Pack,8.46
3456217,Miller Genuin Draft,12 Oz,6-Pack,7.25
3477113,Redd Apple ,12 Oz,Single,2.41
3477414,Lein Summer Shandy - ,,6-Pack,12.09
351061185,Gabrielle ,750 ml,,20.56
351061216,Method Cab ,750 ml,,24.19
351061227,Cabrillo,750 ml,,24.19
351061235,Cabrillo Cab/Sauv ,750 ml,,24.19
367510161,Allagash White,12 Oz,12-Pack,24.19
367510188,Allagash White  btls,,6-Pack,14.51
4331635,Pall Mall NF,,,24.19
4332838,Tareyton 100,,,23.29
4904403,coca cola btl,20 Oz,Single,3.33
4904500,Diet Coca Cola,20 Oz,Single,3.33
4913207,Sprite Can,,,1.51
4963406,Coca Cola ,12 Oz,,1.51
4965802,Diet Coke Can,,,1.51
4976400,Sprite ,20 Oz,Single,3.33
541600701,Ouzo of Plomari - ,750 ml,,30.24
609805156,Barrel Bomb Red Blend ,750 ml,,20.56
609805181,Clos De Napa Sauvignon Blanc,750 ml,Single,19.35
609805218,Gabrielle Ashley Cab ,750 ml,,21.77
609805225,Navigator ,750 ml,Single,66.54
6742708,Coke - 2L,2 L,Single,4.60
6750600,Sprite 2L,,,4.24
6782900,Coca Cola ,12 Oz,,1.51
6792800,Coke,,,1.51
6793207,Sprite Can,,,1.51
705411017,Culitos Merlot,750 ml,,9.67
705411021,Culito Merlot,1.5 Lt,,15.72
705411022,Culitos Moscato Rose - ,1.5 Lt,,15.72
705411109,Culitos Moscato - ,1.5 Lt,,15.72
705411201,Culito Cab,750 ml,Single,9.67
705411202,CULITOS CAB /MERLOT 1.5ML,1.5 Lt,,15.72
705419021,SWEET BITCH MAN.MOS ,750 ml,,13.30
705419025,Sweet Bitch Pineapple Moscato 750Ml,750 ml,Single,13.30
705449224,Sweet Bitch Merlot -750,,,10.88
705449225,Sweet Bitch Merlot - ,1.5 Lt,,15.72
705449230,Sweet Bitch Moscot0 -,750 ml,,10.88
705449232,Sweet Bitch Cabernet Sauvignon ,750 ml,Single,10.88
705449233,Sweet Bitch Cab Sau,1.5 Lt,,15.72
705449234,sweet bitch ,1.5 Lt,,15.72
705449250,Sweet Bitch Blue Moscato 750Ml,750 ml,Single,13.30
7199743,Coors Banquet,12 Oz,6-Pack,9.67
7248340,Schaefer ,,6-Pack,7.25
